https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume BTC
1669680000000,2022-11-29 00:00:00,BTC/USDT,16208.67,16221.76,16102.93,16179.44,40723.5877037728,2.51699612
1669593600000,2022-11-28 00:00:00,BTC/USDT,16468.12,16501.0,16010.31,16213.2,696272.1981432961,42.94477328
1669507200000,2022-11-27 00:00:00,BTC/USDT,16455.26,16597.73,16421.47,16447.23,515917.3428715212,31.36803844
1669420800000,2022-11-26 00:00:00,BTC/USDT,16520.27,16723.3,16388.87,16456.84,547046.6381547309,33.24129287
1669334400000,2022-11-25 00:00:00,BTC/USDT,16591.88,16622.65,16352.04,16519.59,836806.8023865882,50.65542198
1669248000000,2022-11-24 00:00:00,BTC/USDT,16612.43,16795.56,16467.38,16605.7,757645.37962141,45.6256213
1669161600000,2022-11-23 00:00:00,BTC/USDT,16216.28,16684.36,16164.71,16609.94,732343.8994967352,44.09070108
1669075200000,2022-11-22 00:00:00,BTC/USDT,15784.78,16287.06,15640.0,16221.38,754981.3478858224,46.54236248
1668988800000,2022-11-21 00:00:00,BTC/USDT,16294.48,16294.48,15500.0,15785.78,703494.6931601448,44.56508916
1668902400000,2022-11-20 00:00:00,BTC/USDT,16694.48,16748.15,16205.94,16293.66,610340.9182948068,37.45879798
1668816000000,2022-11-19 00:00:00,BTC/USDT,16696.0,16816.17,16562.27,16703.65,592667.3298287106,35.48130677
1668729600000,2022-11-18 00:00:00,BTC/USDT,16684.3,16987.62,16548.24,16702.48,675527.351553956,40.44473345
1668643200000,2022-11-17 00:00:00,BTC/USDT,16666.01,16744.41,16427.98,16694.53,611049.8124277057,36.60179786
1668556800000,2022-11-16 00:00:00,BTC/USDT,16892.83,16999.89,16400.0,16659.56,761302.2385820968,45.69761978
1668470400000,2022-11-15 00:00:00,BTC/USDT,16632.77,17126.28,16561.4,16899.11,754365.0885968952,44.63933832
1668384000000,2022-11-14 00:00:00,BTC/USDT,16328.2,17151.83,15835.6,16627.63,1039844.4911898912,62.53714397
1668297600000,2022-11-13 00:00:00,BTC/USDT,16811.79,16955.81,16252.46,16337.91,679018.3525294806,41.56090666
1668211200000,2022-11-12 00:00:00,BTC/USDT,17073.99,17117.26,16647.08,16798.29,628111.4614381411,37.3913929
1668124800000,2022-11-11 00:00:00,BTC/USDT,17604.57,17678.91,16412.0,17049.63,1450269.631216618,85.06164833
1668038400000,2022-11-10 00:00:00,BTC/USDT,15923.55,18427.73,15785.13,17595.46,2793054.3089499883,158.73721454
1667952000000,2022-11-09 00:00:00,BTC/USDT,18530.11,18584.51,15594.83,15897.3,3717809.6601547557,233.86421972
1667865600000,2022-11-08 00:00:00,BTC/USDT,20586.94,20666.09,16760.92,18529.72,4963376.478929775,267.86030652
1667779200000,2022-11-07 00:00:00,BTC/USDT,20908.57,21048.11,20411.73,20587.93,1189794.185878541,57.79086027
1667692800000,2022-11-06 00:00:00,BTC/USDT,21302.18,21359.0,20895.08,20908.95,891811.1161916986,42.65212343
1667606400000,2022-11-05 00:00:00,BTC/USDT,21146.75,21450,21083.1,21299.17,1238558.6958359217,58.15056154
1667520000000,2022-11-04 00:00:00,BTC/USDT,20211.38,21289.33,20181.6,21148.48,1912353.8714254717,90.4251214
1667433600000,2022-11-03 00:00:00,BTC/USDT,20146.91,20383.88,20053.38,20210.02,974225.2703548431,48.20506216
