https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1701475200000,2023-12-02 00:00:00,MATIC/USDT,0.79805,0.82097,0.79251,0.80838,14374180.8522,17861977.2337,7709082.8649,9579577.4025,380043,0.80476
1701388800000,2023-12-01 00:00:00,MATIC/USDT,0.7635,0.7998,0.75538,0.79817,15420788.6796,19763457.8962,8348147.6213,10698646.917,382734,0.78039
1701302400000,2023-11-30 00:00:00,MATIC/USDT,0.75271,0.77766,0.74557,0.76318,16359389.9841,21481511.6647,8919086.9387,11711460.1159,426363,0.76162
1701216000000,2023-11-29 00:00:00,MATIC/USDT,0.74547,0.76617,0.73958,0.75287,18491495.7188,24618228.015,10338946.4678,13764479.2596,485802,0.75115
1701129600000,2023-11-28 00:00:00,MATIC/USDT,0.74316,0.75276,0.72699,0.7454,18758464.9641,25320926.7799,10346844.6346,13967189.2344,474757,0.74086
1701043200000,2023-11-27 00:00:00,MATIC/USDT,0.75688,0.76284,0.72726,0.74319,18343361.7155,24611699.9696,9912220.5834,13300686.828,479004,0.7454
1700956800000,2023-11-26 00:00:00,MATIC/USDT,0.77168,0.77799,0.74136,0.75679,12559380.556,16448631.4604,6706349.9561,8783633.4894,326019,0.76363
1700870400000,2023-11-25 00:00:00,MATIC/USDT,0.75328,0.77233,0.74902,0.77175,16485678.5416,21637692.6584,9004776.2708,11819321.3985,432082,0.76191
1700784000000,2023-11-24 00:00:00,MATIC/USDT,0.77193,0.79045,0.74759,0.75358,15714655.3709,20408728.0165,8582722.4538,11147073.4542,406067,0.77014
1700697600000,2023-11-23 00:00:00,MATIC/USDT,0.77058,0.78484,0.76325,0.77159,18305346.4373,23626375.0582,10049058.4323,12970486.2578,471778,0.7748
1700611200000,2023-11-22 00:00:00,MATIC/USDT,0.72856,0.78306,0.72581,0.77085,18747059.6125,24687064.5173,10710263.9204,14109606.8103,490429,0.75952
1700524800000,2023-11-21 00:00:00,MATIC/USDT,0.80997,0.82076,0.72455,0.72869,19011217.9142,24326989.5448,10428289.4763,13354323.899,490249,0.78229
1700438400000,2023-11-20 00:00:00,MATIC/USDT,0.85166,0.8656,0.80028,0.81023,15714918.0804,18739658.407,8552636.8364,10198369.7771,408497,0.83886
1700352000000,2023-11-19 00:00:00,MATIC/USDT,0.83157,0.85599,0.81058,0.85136,12826416.2983,15378521.0003,7171097.4761,8598778.7071,330839,0.83415
1700265600000,2023-11-18 00:00:00,MATIC/USDT,0.83007,0.83178,0.77651,0.83158,19286035.7428,23738471.8274,11072704.8916,13629060.6005,500998,0.81259
1700179200000,2023-11-17 00:00:00,MATIC/USDT,0.84412,0.87361,0.78956,0.8305,20387285.6238,24334328.0976,10951480.9439,13080640.9843,530648,0.83828
1700092800000,2023-11-16 00:00:00,MATIC/USDT,0.91926,0.94404,0.83274,0.8446,20285119.2172,22669882.1332,10817069.3349,12099101.9207,528398,0.89577
1700006400000,2023-11-15 00:00:00,MATIC/USDT,0.91635,0.96068,0.88517,0.9189,19065349.6408,20601055.2521,10006295.4459,10814262.0066,490999,0.92584
1699920000000,2023-11-14 00:00:00,MATIC/USDT,0.87653,0.97047,0.84351,0.915,13565617.7058,14940558.7867,7593938.9817,8360432.528,344057,0.90842
1699833600000,2023-11-13 00:00:00,MATIC/USDT,0.89764,0.93,0.85255,0.87748,10362495.7478,11688395.5638,5538547.6485,6247734.4061,301029,0.88682
1699747200000,2023-11-12 00:00:00,MATIC/USDT,0.82286,0.93,0.80256,0.89829,11973213.2935,13978223.2246,6377973.5083,7445740.5035,329296,0.85764
1699660800000,2023-11-11 00:00:00,MATIC/USDT,0.82935,0.82935,0.82935,0.82935,0,0,0,0,0,0.83924
1699574400000,2023-11-10 00:00:00,MATIC/USDT,0.85351,0.85973,0.81341,0.82935,9175638.6361,10934742.5235,4957164.0723,5907693.8631,240159,0.83924
1699488000000,2023-11-09 00:00:00,MATIC/USDT,0.78679,0.85999,0.771,0.8538,15216582.6727,18712313.2715,8188423.6373,10068210.8892,392742,0.81348
1699401600000,2023-11-08 00:00:00,MATIC/USDT,0.74018,0.80921,0.73454,0.78915,12203472.5388,15811164.3918,6400716.3018,8291169.6321,327079,0.77216
1699315200000,2023-11-07 00:00:00,MATIC/USDT,0.73416,0.74573,0.69444,0.74094,11490888.4472,15935816.1589,6198860.53,8596475.235,291093,0.72123
1699228800000,2023-11-06 00:00:00,MATIC/USDT,0.69183,0.73697,0.68918,0.73579,4725282.938,6759124.1982,2663810.5901,3810344.9726,122658,0.69913
1699142400000,2023-11-05 00:00:00,MATIC/USDT,0.67701,0.69834,0.67269,0.69171,10077853.146,14680265.778,5618577.8646,8184663.4475,262013,0.68654
1699056000000,2023-11-04 00:00:00,MATIC/USDT,0.67185,0.68215,0.66233,0.67707,10629559.564,15880496.1001,5964715.1657,8911127.2913,274425,0.66936
1698969600000,2023-11-03 00:00:00,MATIC/USDT,0.66004,0.67347,0.64244,0.67178,15078744.6982,22888388.0379,8562285.0675,12997731.4935,397039,0.65885
1698883200000,2023-11-02 00:00:00,MATIC/USDT,0.66923,0.68858,0.64443,0.65954,15522421.8825,23400565.9675,8856513.8228,13353829.4624,425872,0.66345
1698796800000,2023-11-01 00:00:00,MATIC/USDT,0.6362,0.66933,0.61675,0.66924,12482848.4487,19622993.9041,7073696.7198,11118950.1403,325864,0.63633
1698710400000,2023-10-31 00:00:00,MATIC/USDT,0.64972,0.65648,0.62052,0.63626,21797542.4736,34156904.1787,12145016.0856,19031866.5275,556499,0.63826
1698624000000,2023-10-30 00:00:00,MATIC/USDT,0.63938,0.65022,0.63265,0.64976,2747244.9565,4268109.6211,1457560.5877,2264674.3218,64304,0.64369
1698537600000,2023-10-29 00:00:00,MATIC/USDT,0.62032,0.64239,0.61271,0.63833,2597156.1695,4129929.2378,1406105.5537,2235999.2824,60482,0.62896
1698451200000,2023-10-28 00:00:00,MATIC/USDT,0.60938,0.62673,0.6083,0.61998,3493568.6149,5630542.73,1931613.4254,3113009.3314,81074,0.62048
1698364800000,2023-10-27 00:00:00,MATIC/USDT,0.63237,0.63254,0.60104,0.6094,4667785.2852,7530599.9063,2579270.1037,4161443.1723,108265,0.61992
1698278400000,2023-10-26 00:00:00,MATIC/USDT,0.63018,0.65871,0.61574,0.63252,5208722.9295,8179870.9835,2876011.789,4516228.0181,120263,0.63691
1698192000000,2023-10-25 00:00:00,MATIC/USDT,0.62442,0.64698,0.61459,0.63036,5266440.5892,8332613.7529,2902691.8219,4592820.0094,120545,0.63208
1698105600000,2023-10-24 00:00:00,MATIC/USDT,0.6362,0.66495,0.61758,0.62447,5234841.9354,8202026.7502,2693144.6538,4219959.0813,120181,0.63844
1698019200000,2023-10-23 00:00:00,MATIC/USDT,0.6098,0.65,0.5999,0.63605,4423735.6995,7194150.2034,2273314.8712,3696815.928,102339,0.61502
1697932800000,2023-10-22 00:00:00,MATIC/USDT,0.57271,0.61197,0.5585,0.60924,3123597.0952,5448237.7587,1607187.6868,2802993.6989,71018,0.57358
1697846400000,2023-10-21 00:00:00,MATIC/USDT,0.53575,0.57637,0.53311,0.57219,3268001.3013,5916295.2909,1669666.4468,3022834.2349,72898,0.55275
1697760000000,2023-10-20 00:00:00,MATIC/USDT,0.5171,0.54661,0.51422,0.53563,4099184.3236,7710282.1969,2072814.6744,3898700.9689,94861,0.53175
1697673600000,2023-10-19 00:00:00,MATIC/USDT,0.51037,0.51993,0.50387,0.51734,3041529.0482,5942419.9096,1551429.5358,3031317.4725,70458,0.51186
1697587200000,2023-10-18 00:00:00,MATIC/USDT,0.51927,0.52469,0.50983,0.51057,3197936.1023,6188312.0786,1625665.9418,3145685.2178,73741,0.51679
