https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1696032000,2023-09-30 00:00:00,LTC/USD,65.58,66.56,65.35,65.98,1180.26272267,77873.7344417666
1695945600,2023-09-29 00:00:00,LTC/USD,65.15,66.47,64.95,65.60,4456.52850982,292348.270244192
1695859200,2023-09-28 00:00:00,LTC/USD,63.51,65.50,63.03,65.22,3417.45398212,222886.3487138664
1695772800,2023-09-27 00:00:00,LTC/USD,63.74,65.46,63.08,63.52,2647.21465620,168151.074961824
1695686400,2023-09-26 00:00:00,LTC/USD,64.35,65.00,63.06,63.74,5019.71476753,319956.6192823622
1695600000,2023-09-25 00:00:00,LTC/USD,63.60,65.01,62.55,64.27,1533.40528659,98551.95776913929
1695513600,2023-09-24 00:00:00,LTC/USD,65.08,65.08,63.29,63.59,1248.62291800,79399.93135562
1695427200,2023-09-23 00:00:00,LTC/USD,64.62,65.27,64.47,65.09,3152.76924265,205213.7500040885
1695340800,2023-09-22 00:00:00,LTC/USD,64.67,65.85,64.07,64.35,4371.10680579,281280.7229525865
1695254400,2023-09-21 00:00:00,LTC/USD,64.57,65.01,63.05,64.72,2322.89620488,150337.8423798336
1695168000,2023-09-20 00:00:00,LTC/USD,67.05,67.42,63.35,64.60,5724.85297926,369825.502460196
1695081600,2023-09-19 00:00:00,LTC/USD,66.00,68.40,65.78,67.42,2809.59459893,189422.8678598606
1694995200,2023-09-18 00:00:00,LTC/USD,63.63,67.77,62.96,65.84,6043.09426952,397877.3267051968
1694908800,2023-09-17 00:00:00,LTC/USD,65.29,65.29,62.62,63.58,3723.21397243,236721.9443670994
1694822400,2023-09-16 00:00:00,LTC/USD,65.79,66.99,64.46,65.39,2519.98208847,164781.6287650533
1694736000,2023-09-15 00:00:00,LTC/USD,62.86,66.22,62.63,65.99,2934.07582984,193619.6640111416
1694649600,2023-09-14 00:00:00,LTC/USD,62.20,63.34,62.00,62.86,3193.05567545,200715.479758787
1694563200,2023-09-13 00:00:00,LTC/USD,60.12,62.84,59.66,61.99,6266.49959344,388460.30979734566
1694476800,2023-09-12 00:00:00,LTC/USD,58.72,61.46,58.70,59.93,4000.70230978,239762.0894251154
1694390400,2023-09-11 00:00:00,LTC/USD,61.22,61.62,57.69,58.75,4428.52952061,260176.1093358375
1694304000,2023-09-10 00:00:00,LTC/USD,63.05,63.05,60.10,61.13,5091.42953296,311239.0873498448
1694217600,2023-09-09 00:00:00,LTC/USD,62.61,63.29,62.55,63.05,681.14969890,42946.488515645
1694131200,2023-09-08 00:00:00,LTC/USD,63.69,64.04,61.59,62.60,3768.21294504,235890.130359504
1694044800,2023-09-07 00:00:00,LTC/USD,62.85,64.22,62.51,63.66,1822.61287085,116027.535358311
1693958400,2023-09-06 00:00:00,LTC/USD,63.25,63.50,61.48,62.81,2419.19323050,151949.526807705
1693872000,2023-09-05 00:00:00,LTC/USD,63.76,63.76,62.58,63.12,1717.06359616,108381.0541896192
