Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume TRX,Volume USD
1602460800.0,2020-10-12,TRXUSD,0.0261,0.027,0.0261,0.0261,17566.88,464.87
1602374400.0,2020-10-11,TRXUSD,0.02653,0.0273,0.02574,0.0261,40469.71,1060.3
1602288000.0,2020-10-10,TRXUSD,0.02702,0.02804,0.0262,0.02653,56158.52,1524.03
1602201600.0,2020-10-09,TRXUSD,0.02581,0.02712,0.02571,0.02702,72189.7,1922.69
1602115200.0,2020-10-08,TRXUSD,0.0259,0.02689,0.0251,0.02581,34096.39,887.83
1602028800.0,2020-10-07,TRXUSD,0.026,0.02689,0.0253,0.0259,53426.67,1380.42
1601942400.0,2020-10-06,TRXUSD,0.0265,0.02703,0.026,0.026,24431.58,645.29
1601856000.0,2020-10-05,TRXUSD,0.0265,0.02769,0.026,0.0265,91733.32,2450.47
1601769600.0,2020-10-04,TRXUSD,0.02702,0.0281,0.02629,0.0265,80363.93,2170.24
1601683200.0,2020-10-03,TRXUSD,0.02635,0.03,0.02635,0.02702,88912.23,2502.28
1601596800.0,2020-10-02,TRXUSD,0.02584,0.0269,0.02478,0.02635,57999.93,1487.41
1601510400.0,2020-10-01,TRXUSD,0.02639,0.02871,0.0254,0.02584,63588.06,1697.46
1601424000.0,2020-09-30,TRXUSD,0.0264,0.02702,0.02635,0.02639,50434.79,1347.62
1601337600.0,2020-09-29,TRXUSD,0.02708,0.0277,0.02638,0.0264,44009.02,1185.12
1601251200.0,2020-09-28,TRXUSD,0.02675,0.02788,0.02668,0.02708,12423.62,337.37
1601164800.0,2020-09-27,TRXUSD,0.0274,0.02866,0.02648,0.02675,49472.45,1354.26
1601078400.0,2020-09-26,TRXUSD,0.028,0.03,0.0274,0.0274,71679.69,2079.56
1600992000.0,2020-09-25,TRXUSD,0.02673,0.0281,0.02636,0.028,37569.39,1029.06
1600905600.0,2020-09-24,TRXUSD,0.02574,0.0272,0.02568,0.02673,44532.91,1177.89
1600819200.0,2020-09-23,TRXUSD,0.02604,0.0272,0.02574,0.02574,49884.16,1326.56
1600732800.0,2020-09-22,TRXUSD,0.02655,0.02794,0.0257,0.02604,24060.84,633.05
1600646400.0,2020-09-21,TRXUSD,0.02787,0.02826,0.02564,0.02655,23582.42,632.72
1600560000.0,2020-09-20,TRXUSD,0.02846,0.029,0.02735,0.02787,57173.78,1619.77
1600473600.0,2020-09-19,TRXUSD,0.02979,0.031,0.02787,0.02846,29595.93,842.04
1600387200.0,2020-09-18,TRXUSD,0.02825,0.0309,0.02802,0.02979,52284.94,1556.03
1600300800.0,2020-09-17,TRXUSD,0.0273,0.02991,0.02681,0.02825,43745.38,1215.25
1600214400.0,2020-09-16,TRXUSD,0.0286,0.02965,0.02638,0.0273,91111.76,2537.61
1600128000.0,2020-09-15,TRXUSD,0.03145,0.03146,0.0285,0.0286,64272.08,1934.48
1600041600.0,2020-09-14,TRXUSD,0.03151,0.03316,0.03115,0.03145,69015.14,2205.52
1599955200.0,2020-09-13,TRXUSD,0.0337,0.03439,0.03115,0.03151,103915.41,3429.65
1599868800.0,2020-09-12,TRXUSD,0.03401,0.03571,0.0333,0.0337,42111.97,1455.8
1599782400.0,2020-09-11,TRXUSD,0.03426,0.03571,0.0332,0.03401,26926.73,920.67
1599696000.0,2020-09-10,TRXUSD,0.03476,0.03692,0.0334,0.03426,89522.68,3169.6
1599609600.0,2020-09-09,TRXUSD,0.03547,0.03714,0.03458,0.03476,60148.98,2166.0
1599523200.0,2020-09-08,TRXUSD,0.03273,0.03685,0.03273,0.03547,143888.5,4981.5
1599436800.0,2020-09-07,TRXUSD,0.03317,0.03392,0.03,0.03273,49818.73,1617.88
1599350400.0,2020-09-06,TRXUSD,0.03,0.03406,0.02911,0.03317,78496.74,2464.46
1599264000.0,2020-09-05,TRXUSD,0.03606,0.03898,0.02901,0.03,183340.38,6138.33
1599177600.0,2020-09-04,TRXUSD,0.043,0.0464,0.0343,0.03606,335741.41,13463.87
1599091200.0,2020-09-03,TRXUSD,0.03552,0.05,0.035,0.043,642112.99,27963.33
1599004800.0,2020-09-02,TRXUSD,0.03415,0.03812,0.03236,0.03552,419385.58,14439.06
1598918400.0,2020-09-01,TRXUSD,0.02927,0.036,0.02888,0.03415,558731.21,17483.9
1598832000.0,2020-08-31,TRXUSD,0.02773,0.03003,0.02557,0.02927,335414.16,9631.39
1598745600.0,2020-08-30,TRXUSD,0.0256,0.0283,0.02511,0.02773,75994.84,2026.45
