https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1699228800,2023-11-06,ADA/USD,0.342881,0.374037,0.338508,0.362908,29627.385649,10752.015271107291
1699142400,2023-11-05,ADA/USD,0.32782,0.34917,0.327417,0.342774,20330.738433,6968.848535633142
1699056000,2023-11-04,ADA/USD,0.328964,0.33,0.321727,0.328224,7493.746894,2459.627580536256
1698969600,2023-11-03,ADA/USD,0.322858,0.328559,0.312675,0.328559,23917.455279,7858.295189012962
1698883200,2023-11-02,ADA/USD,0.307637,0.328585,0.299419,0.3229,26551.121337,8573.357079717302
1698796800,2023-11-01,ADA/USD,0.293329,0.307665,0.285336,0.307286,11722.689499,3602.218365389714
1698710400,2023-10-31,ADA/USD,0.302718,0.30424,0.285727,0.292968,43823.918631,12839.00579348681
1698624000,2023-10-30,ADA/USD,0.295519,0.302346,0.293047,0.302346,5432.026166,1642.351383185436
1698537600,2023-10-29,ADA/USD,0.290921,0.29809,0.28923,0.295427,2832.95156,836.93038051612
1698451200,2023-10-28,ADA/USD,0.289359,0.296543,0.289359,0.290804,3197.191081,929.755955119124
1698364800,2023-10-27,ADA/USD,0.287583,0.292656,0.281629,0.289003,14005.181714,4047.539530891142
1698278400,2023-10-26,ADA/USD,0.280518,0.2961,0.280518,0.287937,16190.246502,4661.771007046374
1698192000,2023-10-25,ADA/USD,0.278818,0.28951,0.277045,0.280173,18212.685024,5102.702601229152
1698105600,2023-10-24,ADA/USD,0.280479,0.292908,0.272794,0.278731,77685.457916,21653.345370384595
1698019200,2023-10-23,ADA/USD,0.264292,0.282234,0.262312,0.280539,214222.445694,60097.75069254906
1697932800,2023-10-22,ADA/USD,0.25851,0.263589,0.256928,0.263589,26048.306952,6866.047181170728
1697846400,2023-10-21,ADA/USD,0.25138,0.262,0.250711,0.258509,7177.16164,1855.36087839476
1697760000,2023-10-20,ADA/USD,0.246841,0.252155,0.246184,0.251381,14456.713737,3634.143155920797
1697673600,2023-10-19,ADA/USD,0.243245,0.246841,0.240523,0.246841,42548.871785,10502.806060281186
1697587200,2023-10-18,ADA/USD,0.246355,0.247236,0.243245,0.243246,22916.488076,5574.344058534696
1697500800,2023-10-17,ADA/USD,0.251328,0.251328,0.246032,0.246689,1512.646629,373.15328426138103
1697414400,2023-10-16,ADA/USD,0.246976,0.257878,0.246976,0.251329,15358.7842,3860.1078742018003
1697328000,2023-10-15,ADA/USD,0.246976,0.247634,0.246319,0.246975,1115.6395,275.5350655125
1697241600,2023-10-14,ADA/USD,0.245986,0.247374,0.245986,0.246642,445.159278,109.794974644476
1697155200,2023-10-13,ADA/USD,0.246006,0.24864,0.245351,0.246308,1655.128767,407.67145634223596
1697068800,2023-10-12,ADA/USD,0.246989,0.246989,0.2434,0.245352,3038.534728,745.510572584256
1696982400,2023-10-11,ADA/USD,0.248804,0.248804,0.24602,0.247356,3171.280535,784.43526801546
1696896000,2023-10-10,ADA/USD,0.251445,0.252117,0.247816,0.24914,2134.055158,531.67850206412
1696809600,2023-10-09,ADA/USD,0.256465,0.257835,0.249455,0.252116,5619.96038,1416.8819311640802
1696723200,2023-10-08,ADA/USD,0.258127,0.258127,0.256679,0.257148,2046.566464,526.270473084672
1696636800,2023-10-07,ADA/USD,0.264926,0.264926,0.257939,0.258778,6046.885133,1564.800840947474
1696550400,2023-10-06,ADA/USD,0.260836,0.265993,0.260836,0.264925,2505.950042,663.88881487685
1696464000,2023-10-05,ADA/USD,0.258971,0.263127,0.256602,0.26049,6817.935079,1776.00390872871
1696377600,2023-10-04,ADA/USD,0.260402,0.260402,0.253935,0.259661,4189.099131,1087.7456694545908
1696291200,2023-10-03,ADA/USD,0.259162,0.263545,0.258331,0.261097,6998.2248,1827.2155006056003
1696204800,2023-10-02,ADA/USD,0.265628,0.268472,0.258819,0.259163,6853.407545,1776.1496595848348
1696118400,2023-10-01,ADA/USD,0.254482,0.267047,0.254482,0.266336,16536.348242,4404.224845381313
1696032000,2023-09-30,ADA/USD,0.249137,0.254553,0.249137,0.254143,1365.82636,347.11520860948
1695945600,2023-09-29,ADA/USD,0.249133,0.254816,0.248474,0.248475,5915.577676,1469.8731630441
1695859200,2023-09-28,ADA/USD,0.244195,0.249794,0.244195,0.249794,2505.598803,625.8835473965819
1695772800,2023-09-27,ADA/USD,0.245219,0.24745,0.243228,0.244527,7357.597528,1799.131250729256
1695686400,2023-09-26,ADA/USD,0.245872,0.246528,0.243916,0.244567,1034.260425,252.945969360975
1695600000,2023-09-25,ADA/USD,0.242343,0.245271,0.242343,0.245219,2781.466089,682.068332878491
1695513600,2023-09-24,ADA/USD,0.245561,0.24745,0.242344,0.242344,10939.493399,2651.1205882872564
1695427200,2023-09-23,ADA/USD,0.244573,0.246217,0.244573,0.246216,939.322875,231.27632099099998
1695340800,2023-09-22,ADA/USD,0.245,0.245545,0.243591,0.244574,4055.879616,991.9627012035841
1695254400,2023-09-21,ADA/USD,0.251839,0.25251,0.245544,0.245544,6419.162598,1576.186860963312
1695168000,2023-09-20,ADA/USD,0.254855,0.255716,0.251512,0.251513,12783.179271,3215.135767987023
1695081600,2023-09-19,ADA/USD,0.252122,0.256863,0.252122,0.255534,2466.905265,630.3781699865099
1694995200,2023-09-18,ADA/USD,0.246906,0.254921,0.244868,0.251451,19399.040801,4877.908208452251
1694908800,2023-09-17,ADA/USD,0.249377,0.250043,0.245595,0.246907,3203.651567,791.0039974532689
1694822400,2023-09-16,ADA/USD,0.250992,0.253004,0.249377,0.249378,7499.742448,1870.2707721973438
1694736000,2023-09-15,ADA/USD,0.251508,0.254354,0.246034,0.250991,29125.716738,7310.292769787358
1694649600,2023-09-14,ADA/USD,0.249216,0.251845,0.24753,0.251507,13396.025759,3369.1942505688125
1694563200,2023-09-13,ADA/USD,0.245552,0.249205,0.244249,0.248881,25481.917355,6341.965073229755
1694476800,2023-09-12,ADA/USD,0.241927,0.250902,0.241283,0.246207,7044.871638,1734.496711377066
1694390400,2023-09-11,ADA/USD,0.2492,0.2492,0.23746,0.241284,9154.755094,2208.895928100696
