https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1691020800000,2023-08-03,XRPUSDT,0.6849,0.6875,0.6543,0.663,353547025.0,236749567.6446,226606
1690934400000,2023-08-02,XRPUSDT,0.7069,0.7081,0.6762,0.685,257325957.0,177961279.0593,174266
1690848000000,2023-08-01,XRPUSDT,0.6976,0.7082,0.6732,0.7069,366664318.0,253808721.4183,249515
1690761600000,2023-07-31,XRPUSDT,0.7047,0.7205,0.685,0.6976,378390957.0,266346676.5876,269243
1690675200000,2023-07-30,XRPUSDT,0.7122,0.7358,0.6825,0.7046,267572438.0,190600448.5184,210962
1690588800000,2023-07-29,XRPUSDT,0.7119,0.7158,0.7041,0.7121,105603908.0,75047405.3508,89353
1690502400000,2023-07-28,XRPUSDT,0.7138,0.7189,0.7021,0.712,200990844.0,143020949.8474,151837
1690416000000,2023-07-27,XRPUSDT,0.7161,0.7328,0.7061,0.7139,312450860.0,223798115.8014,234866
1690329600000,2023-07-26,XRPUSDT,0.709,0.7313,0.6927,0.7161,369415295.0,261953542.4317,285830
1690243200000,2023-07-25,XRPUSDT,0.702,0.7163,0.6743,0.7089,393523223.0,274098541.9027,298525
1690156800000,2023-07-24,XRPUSDT,0.7384,0.743,0.6808,0.7021,513611905.0,363034637.1972,396133
1690070400000,2023-07-23,XRPUSDT,0.733,0.7525,0.7149,0.7384,293811431.0,216785787.3217,238690
1689984000000,2023-07-22,XRPUSDT,0.7713,0.7799,0.7215,0.7331,324984749.0,246545025.6818,276750
1689897600000,2023-07-21,XRPUSDT,0.7942,0.7987,0.7601,0.7713,411233974.0,320767845.9807,365226
1689811200000,2023-07-20,XRPUSDT,0.8198,0.8489,0.771,0.7942,643507521.0,521605123.0001,611114
1689724800000,2023-07-19,XRPUSDT,0.778,0.8547,0.7685,0.8199,913495953.0,735553987.5944,802098
1689638400000,2023-07-18,XRPUSDT,0.7373,0.785,0.7304,0.7779,598030609.0,450543299.0257,509457
1689552000000,2023-07-17,XRPUSDT,0.7468,0.7662,0.7122,0.7374,608872143.0,450106863.4749,558954
1689465600000,2023-07-16,XRPUSDT,0.7144,0.79,0.702,0.7468,946644269.0,709571949.0654,702277
1689379200000,2023-07-15,XRPUSDT,0.7178,0.7362,0.6919,0.7145,703355719.0,504452504.4832,570922
1689292800000,2023-07-14,XRPUSDT,0.8151,0.8253,0.6686,0.7179,1525175518.0,1152019101.9945,1488766
1689206400000,2023-07-13,XRPUSDT,0.471,0.938,0.4695,0.8153,2499971165.0,1758482749.7508998,2895839
1689120000000,2023-07-12,XRPUSDT,0.4753,0.4772,0.4648,0.471,220670755.0,104191095.7675,92981
1689033600000,2023-07-11,XRPUSDT,0.478,0.4784,0.4709,0.4753,225681776.0,107129231.8382,91922
1688947200000,2023-07-10,XRPUSDT,0.4681,0.48,0.4622,0.478,334545737.0,157526649.3444,128843
1688860800000,2023-07-09,XRPUSDT,0.4705,0.4717,0.4664,0.468,80147955.0,37629361.6338,49473
1688774400000,2023-07-08,XRPUSDT,0.4686,0.4748,0.4649,0.4704,116031881.0,54396568.3464,67003
1688688000000,2023-07-07,XRPUSDT,0.4622,0.4708,0.4575,0.4687,230688947.0,107533605.7697,98575
1688601600000,2023-07-06,XRPUSDT,0.4777,0.4842,0.4612,0.4622,304125111.0,143805418.8002,146023
1688515200000,2023-07-05,XRPUSDT,0.4872,0.4919,0.4696,0.4777,292620010.0,140622559.5325,148600
1688428800000,2023-07-04,XRPUSDT,0.489,0.4935,0.4816,0.4872,299439491.0,146031583.7395,139674
1688342400000,2023-07-03,XRPUSDT,0.4844,0.4914,0.4784,0.489,357020349.0,172807675.4956,177511
1688256000000,2023-07-02,XRPUSDT,0.4732,0.4961,0.4697,0.4845,337155089.0,163094434.9659,204517
1688169600000,2023-07-01,XRPUSDT,0.473,0.476,0.464,0.4732,232549409.0,109210900.2688,114813
1688083200000,2023-06-30,XRPUSDT,0.4747,0.4827,0.4498,0.4729,393612239.0,185778507.6227,219961
1687996800000,2023-06-29,XRPUSDT,0.4648,0.4773,0.4612,0.4747,211214558.0,99147276.3141,102466
1687910400000,2023-06-28,XRPUSDT,0.4839,0.4844,0.4493,0.4647,325837765.0,153329584.7929,164563
1687824000000,2023-06-27,XRPUSDT,0.479,0.4851,0.4759,0.4838,291583944.0,140122274.2891,132593
1687737600000,2023-06-26,XRPUSDT,0.4903,0.4919,0.4701,0.479,305338027.0,147000463.6721,163717
1687651200000,2023-06-25,XRPUSDT,0.4865,0.4977,0.4829,0.4903,191583170.0,93843422.8092,110926
1687564800000,2023-06-24,XRPUSDT,0.496,0.4961,0.478,0.4865,193097516.0,94403166.4608,119543
1687478400000,2023-06-23,XRPUSDT,0.4937,0.5023,0.484,0.4961,345391930.0,170930777.4484,202216
1687392000000,2023-06-22,XRPUSDT,0.4999,0.5272,0.4821,0.4938,442729597.0,223220058.1374,282412
1687305600000,2023-06-21,XRPUSDT,0.4928,0.5034,0.4892,0.4999,408749828.0,202941709.1074,223743
1687219200000,2023-06-20,XRPUSDT,0.4935,0.4967,0.4716,0.4929,378325906.0,183652110.869,194078
1687132800000,2023-06-19,XRPUSDT,0.4868,0.4991,0.4811,0.4936,322187608.0,158029204.5714,171967
1687046400000,2023-06-18,XRPUSDT,0.4794,0.4979,0.4741,0.4868,225020544.0,109694269.2514,162331
1686960000000,2023-06-17,XRPUSDT,0.4758,0.4869,0.4694,0.4794,189579671.0,90724364.3014,114551
1686873600000,2023-06-16,XRPUSDT,0.4801,0.4833,0.4558,0.4759,376661662.0,177084797.8848,223245
1686787200000,2023-06-15,XRPUSDT,0.4802,0.4858,0.4663,0.4801,337742736.0,161264378.6239,202319
1686700800000,2023-06-14,XRPUSDT,0.5193,0.5205,0.461,0.4801,544396397.0,270686306.3722,340474
1686614400000,2023-06-13,XRPUSDT,0.5251,0.5658,0.5054,0.5192,771631184.0,411364100.7733,559433
1686528000000,2023-06-12,XRPUSDT,0.5209,0.528,0.5086,0.5251,356547544.0,184693488.5544,234513
1686441600000,2023-06-11,XRPUSDT,0.5067,0.5293,0.5027,0.5208,221202480.0,113523633.2413,164718
1686355200000,2023-06-10,XRPUSDT,0.538,0.5388,0.472,0.5067,609302319.0,304346642.2294,492361
1686268800000,2023-06-09,XRPUSDT,0.5237,0.5418,0.5205,0.538,352068623.0,187158472.4652,236747
1686182400000,2023-06-08,XRPUSDT,0.5183,0.5278,0.5156,0.5236,262982251.0,137027019.7161,177957
1686096000000,2023-06-07,XRPUSDT,0.53,0.5384,0.507,0.5183,467474175.0,244889718.1241,326396
1686009600000,2023-06-06,XRPUSDT,0.5089,0.5328,0.4952,0.53,458413458.0,234690913.8299,307055
1685923200000,2023-06-05,XRPUSDT,0.5359,0.5431,0.4867,0.509,616993814.0,319477652.4925,430141
1685836800000,2023-06-04,XRPUSDT,0.5188,0.547,0.5151,0.5359,250235168.0,133246493.0951,159074
1685750400000,2023-06-03,XRPUSDT,0.5245,0.534,0.5144,0.5188,172139129.0,89930000.8953,119886
1685664000000,2023-06-02,XRPUSDT,0.5065,0.5271,0.5033,0.5244,293048961.0,151414189.6036,168266
1685577600000,2023-06-01,XRPUSDT,0.5167,0.5167,0.5014,0.5065,320782418.0,162638528.1577,197787
1685491200000,2023-05-31,XRPUSDT,0.5205,0.528,0.5009,0.5166,440917044.0,226321932.8499,297874
1685404800000,2023-05-30,XRPUSDT,0.4946,0.5293,0.4893,0.5205,662891231.0,337412103.77,428094
1685318400000,2023-05-29,XRPUSDT,0.482,0.4954,0.4761,0.4946,328535756.0,158994730.9089,193651
1685232000000,2023-05-28,XRPUSDT,0.4714,0.4863,0.4699,0.482,166534206.0,79310781.4841,109213
1685145600000,2023-05-27,XRPUSDT,0.4684,0.4792,0.4652,0.4714,178798933.0,84283690.6692,123858
1685059200000,2023-05-26,XRPUSDT,0.4538,0.4699,0.4524,0.4684,284645154.0,132032922.1573,145800
1684972800000,2023-05-25,XRPUSDT,0.453,0.4551,0.4431,0.4538,190174437.0,85627895.2544,102425
1684886400000,2023-05-24,XRPUSDT,0.4651,0.4651,0.4457,0.453,334128026.0,151915102.1176,156624
1684800000000,2023-05-23,XRPUSDT,0.4618,0.4672,0.4583,0.4651,270491006.0,125016933.0484,125211
1684713600000,2023-05-22,XRPUSDT,0.4574,0.4674,0.4496,0.4618,289989578.0,133114497.6357,155907
1684627200000,2023-05-21,XRPUSDT,0.4685,0.4706,0.455,0.4575,152105849.0,70385641.0823,103117
1684540800000,2023-05-20,XRPUSDT,0.4674,0.4719,0.4618,0.4685,133085427.0,62057504.8193,103913
1684454400000,2023-05-19,XRPUSDT,0.4597,0.4755,0.4573,0.4675,327924286.0,152613054.2521,222000
1684368000000,2023-05-18,XRPUSDT,0.4485,0.473,0.443,0.4596,420292099.0,192595312.6275,286958
1684281600000,2023-05-17,XRPUSDT,0.4426,0.4616,0.4375,0.4484,511331200.0,229071343.7915,303334
1684195200000,2023-05-16,XRPUSDT,0.4273,0.443,0.4174,0.4425,357854908.0,152521020.859,160937
1684108800000,2023-05-15,XRPUSDT,0.4253,0.4304,0.4214,0.4273,263543031.0,112456043.0808,124386
1684022400000,2023-05-14,XRPUSDT,0.424,0.4317,0.421,0.4253,97517794.0,41556708.1618,60061
1683936000000,2023-05-13,XRPUSDT,0.4305,0.4306,0.4227,0.424,102125283.0,43502508.7222,64588
1683849600000,2023-05-12,XRPUSDT,0.4207,0.4446,0.4157,0.4305,408757650.0,174665763.124,243770
1683763200000,2023-05-11,XRPUSDT,0.4303,0.4305,0.4114,0.4207,288769811.0,121888401.6044,132230
