https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1702598400000,2023-12-15 00:00:00,ATOM/USDT,10.136,10.165,9.211,9.279,4807242.13,497471.889672,2425861.94,251045.453324,69323,9.667
1702512000000,2023-12-14 00:00:00,ATOM/USDT,10.25,10.381,9.754,10.14,4486437.89,441558.530474,2292976.34,225664.741828,65484,10.16
1702425600000,2023-12-13 00:00:00,ATOM/USDT,10.301,10.54,9.1,10.249,3564570.76,348009.254012,1790943.51,174834.481407,52712,10.243
1702339200000,2023-12-12 00:00:00,ATOM/USDT,8.989,10.3,8.98,10.3,3884924.61,408898.530749,1982803.97,208632.173508,56794,9.518
1702252800000,2023-12-11 00:00:00,ATOM/USDT,9.796,9.796,8.721,8.982,4851294.49,523790.179295,2412619.16,260443.754416,70921,9.266
1702166400000,2023-12-10 00:00:00,ATOM/USDT,9.376,9.871,9.356,9.794,2495048.93,255621.219124,1253154.95,128402.114431,36232,9.761
1702080000000,2023-12-09 00:00:00,ATOM/USDT,9.591,9.888,9.275,9.356,3507967.91,363382.219673,1731777.77,179399.590148,52503,9.656
1701993600000,2023-12-08 00:00:00,ATOM/USDT,9.306,9.87,9.25,9.592,7258655.11,771718.681296,3655354.97,388591.874145,106817,9.407
1701907200000,2023-12-07 00:00:00,ATOM/USDT,9.369,9.685,8.662,9.307,5361350.89,574722.666156,2661294.42,285300.531843,78529,9.329
1701820800000,2023-12-06 00:00:00,ATOM/USDT,9.305,9.831,9.24,9.372,4751533.69,504448.443301,2407783.84,255628.01461,68052,9.42
1701734400000,2023-12-05 00:00:00,ATOM/USDT,9.198,9.354,8.663,9.305,3945837.28,431360.284077,1983820.34,216854.908633,56804,9.148
1701648000000,2023-12-04 00:00:00,ATOM/USDT,9.188,9.274,8.2,9.198,5584158.68,612919.646186,2829620.57,310592.374604,84041,9.111
1701561600000,2023-12-03 00:00:00,ATOM/USDT,9.179,9.228,9.028,9.188,6509562.1,712445.183714,3309062.38,362157.981353,94442,9.137
1701475200000,2023-12-02 00:00:00,ATOM/USDT,9.207,9.246,9.101,9.184,4535113.49,492804.046815,2289297.9,248759.360049,65629,9.202
1701388800000,2023-12-01 00:00:00,ATOM/USDT,9.131,9.206,9.079,9.206,3221189.43,351903.983167,1626354.25,177672.500909,46276,9.153
