https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1705017600,2024-01-12,BTC/USD,46449.4,46500.0,41520.3,42872.0,6.26151634,268443.72852848
1704931200,2024-01-11,BTC/USD,46403.1,48800.0,45869.1,46290.0,3.2188867,149002.265343
1704844800,2024-01-10,BTC/USD,46000.0,47720.0,44500.0,46660.9,21.91389003,1022521.8313008271
1704758400,2024-01-09,BTC/USD,47124.3,47900.2,45261.6,45652.0,11.96421799,546190.47967948
1704672000,2024-01-08,BTC/USD,43762.9,47261.7,43400.0,46975.8,10.14272435,476462.59052073
1704585600,2024-01-07,BTC/USD,43993.0,44450.0,43700.0,43700.0,0.38659588,16894.239956
1704499200,2024-01-06,BTC/USD,44115.5,44149.9,43687.7,43849.4,0.1774939,7783.001018660001
1704412800,2024-01-05,BTC/USD,44186.7,44200.0,42743.3,44124.7,8.25414183,364211.532006201
1704326400,2024-01-04,BTC/USD,42856.6,44750.0,42750.0,44252.5,2.67857547,118533.660986175
1704240000,2024-01-03,BTC/USD,45231.7,45450.0,41200.0,42770.0,16.50932225,706103.7126325
1704153600,2024-01-02,BTC/USD,44175.0,45975.7,44175.0,45015.0,4.45486921,200535.93748815
1704067200,2024-01-01,BTC/USD,42439.5,44063.9,42439.5,44063.9,1.20769886,53215.921797154006
1703980800,2023-12-31,BTC/USD,42221.6,42930.5,42221.6,42400.0,0.56085647,23780.314328
1703894400,2023-12-30,BTC/USD,42165.2,42617.8,41545.1,42062.2,0.31537313,13265.287668686
1703808000,2023-12-29,BTC/USD,42549.9,42950.0,41500.0,42061.8,1.48349219,62398.351797342
1703721600,2023-12-28,BTC/USD,43650.0,43738.0,42424.3,42700.1,0.80007673,34163.356378673
1703635200,2023-12-27,BTC/USD,42360.0,43550.0,42267.8,43402.3,1.17070058,50811.09778333401
1703548800,2023-12-26,BTC/USD,43430.1,43430.1,41850.0,42350.0,1.1628351,49246.066484999996
1703462400,2023-12-25,BTC/USD,43120.0,43582.5,43113.5,43582.5,0.34597976,15078.662890200001
1703376000,2023-12-24,BTC/USD,43999.7,43999.7,42926.8,42926.8,0.77790108,33392.804080944006
1703289600,2023-12-23,BTC/USD,43592.1,44121.0,43475.0,43805.1,0.4517306,19788.10410606
1703203200,2023-12-22,BTC/USD,43890.3,44197.5,43500.0,44197.5,0.93579745,41359.907796375
1703116800,2023-12-21,BTC/USD,43400.7,44401.0,43400.7,44000.5,0.36664517,16132.570802585002
1703030400,2023-12-20,BTC/USD,42599.5,44249.7,42599.5,43475.1,1.8030035,78385.75746285
1702944000,2023-12-19,BTC/USD,42700.0,43271.0,41900.0,42234.3,1.46889806,62037.881335458
1702857600,2023-12-18,BTC/USD,41342.9,42661.0,40600.0,42661.0,1.16018305,49494.56909605001
1702771200,2023-12-17,BTC/USD,41730.0,42899.9,41555.0,41555.0,0.1604378,6666.992778999999
1702684800,2023-12-16,BTC/USD,42100.8,42800.0,42100.8,42260.3,0.50538191,21357.591131173
1702598400,2023-12-15,BTC/USD,43000.0,43200.0,41800.0,41800.0,0.31961689,13359.986002
1702512000,2023-12-14,BTC/USD,43300.0,43300.0,42021.0,43000.0,0.3892809,16739.0787
