Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1528675200.0,2018-06-11,XRPUSD,0,0.7026,0,0.7026,0.0,0.0
1528502400.0,2018-06-09,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1528416000.0,2018-06-08,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1528329600.0,2018-06-07,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1528243200.0,2018-06-06,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1528156800.0,2018-06-05,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1528070400.0,2018-06-04,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527984000.0,2018-06-03,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527897600.0,2018-06-02,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527811200.0,2018-06-01,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527724800.0,2018-05-31,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527638400.0,2018-05-30,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527552000.0,2018-05-29,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527465600.0,2018-05-28,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527379200.0,2018-05-27,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527292800.0,2018-05-26,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527206400.0,2018-05-25,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527120000.0,2018-05-24,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1527033600.0,2018-05-23,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526947200.0,2018-05-22,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526860800.0,2018-05-21,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526774400.0,2018-05-20,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526688000.0,2018-05-19,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526601600.0,2018-05-18,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526515200.0,2018-05-17,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526428800.0,2018-05-16,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526342400.0,2018-05-15,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526256000.0,2018-05-14,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526169600.0,2018-05-13,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1526083200.0,2018-05-12,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525996800.0,2018-05-11,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525910400.0,2018-05-10,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525824000.0,2018-05-09,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525737600.0,2018-05-08,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525651200.0,2018-05-07,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525564800.0,2018-05-06,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525478400.0,2018-05-05,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525392000.0,2018-05-04,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525305600.0,2018-05-03,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525219200.0,2018-05-02,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525132800.0,2018-05-01,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1525046400.0,2018-04-30,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524960000.0,2018-04-29,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524873600.0,2018-04-28,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524787200.0,2018-04-27,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524700800.0,2018-04-26,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524614400.0,2018-04-25,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524528000.0,2018-04-24,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524441600.0,2018-04-23,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524355200.0,2018-04-22,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524268800.0,2018-04-21,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524182400.0,2018-04-20,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524096000.0,2018-04-19,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1524009600.0,2018-04-18,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
1523923200.0,2018-04-17,XRPUSD,0.7026,0.7026,0.7026,0.7026,0.0,0.0
