https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1702598400,2023-12-15 00:00:00,AVAX/USD,39.05918,42.17064,38.56659,39.72000,32138.05842969,1276523.6808272868
1702512000,2023-12-14 00:00:00,AVAX/USD,38.99359,40.34757,36.81064,39.25963,22255.40681523,873739.0370654082
1702425600,2023-12-13 00:00:00,AVAX/USD,37.37504,41.74997,34.10000,38.97000,41952.93019371,1634905.6896488788
1702339200,2023-12-12 00:00:00,AVAX/USD,38.08131,42.67248,35.88133,37.43398,66271.10418323,2480791.188572948
1702252800,2023-12-11 00:00:00,AVAX/USD,37.17000,39.37998,32.00001,38.04002,35886.34170653,1365117.1562432353
1702166400,2023-12-10 00:00:00,AVAX/USD,32.02000,37.97000,31.61000,37.14313,24408.67779203,906614.6923574833
1702080000,2023-12-09 00:00:00,AVAX/USD,30.84999,34.25715,30.77017,31.74526,48805.60829209,1549346.724690553
1701993600,2023-12-08 00:00:00,AVAX/USD,26.41000,30.82240,26.05000,30.68221,34532.31819179,1059527.838547321
1701907200,2023-12-07 00:00:00,AVAX/USD,26.22979,27.83999,25.84120,26.28001,15654.20103867,411392.559838258
1701820800,2023-12-06 00:00:00,AVAX/USD,24.60000,27.66999,24.60000,26.16998,56722.62568632,1484429.9797584808
1701734400,2023-12-05 00:00:00,AVAX/USD,22.41130,24.73999,21.87001,24.47936,18917.74940122,463094.3979822488
1701648000,2023-12-04 00:00:00,AVAX/USD,22.06329,23.18000,20.50000,22.60647,19394.65249170,438444.6297140413
1701561600,2023-12-03 00:00:00,AVAX/USD,22.31304,22.70011,21.67230,21.96983,11195.61820093,245965.82861933793
1701475200,2023-12-02 00:00:00,AVAX/USD,21.88001,22.36999,21.78527,22.19892,6448.84033242,143157.29063216498
1701388800,2023-12-01 00:00:00,AVAX/USD,21.26749,22.68488,21.17871,21.85357,31503.42310390,688462.262040696
1701302400,2023-11-30 00:00:00,AVAX/USD,21.14012,21.46047,20.82483,21.38646,13243.19503721,283225.0609354902
1701216000,2023-11-29 00:00:00,AVAX/USD,20.57909,21.51431,20.57909,21.07000,14499.93287772,305513.58573356044
1701129600,2023-11-28 00:00:00,AVAX/USD,20.31696,20.88149,19.57595,20.67041,7532.42859268,155698.38730641862
1701043200,2023-11-27 00:00:00,AVAX/USD,21.00314,21.29705,19.91277,20.13813,6974.36262168,140450.62114253268
1700956800,2023-11-26 00:00:00,AVAX/USD,21.30810,21.46000,20.18548,21.12000,5636.64392805,119045.919760416
1700870400,2023-11-25 00:00:00,AVAX/USD,20.80091,21.49998,20.75832,21.22654,6070.63264803,128858.52672871473
1700784000,2023-11-24 00:00:00,AVAX/USD,20.53886,21.88999,20.47000,20.87818,21795.01221793,455040.1881881418
1700697600,2023-11-23 00:00:00,AVAX/USD,20.82520,21.43729,20.49057,20.79447,9341.08079407,194242.8243398648
1700611200,2023-11-22 00:00:00,AVAX/USD,19.20000,21.15946,19.20000,20.78648,11505.84159209,239165.94613714697
1700524800,2023-11-21 00:00:00,AVAX/USD,20.75000,22.24000,19.01000,19.03549,33091.64512776,629915.6799130242
1700438400,2023-11-20 00:00:00,AVAX/USD,22.88072,23.20485,20.82742,20.82742,13977.33044836,291111.73172678205
1700352000,2023-11-19 00:00:00,AVAX/USD,21.70999,23.01814,20.31000,22.86000,25856.33052276,591075.7157502936
1700265600,2023-11-18 00:00:00,AVAX/USD,21.76001,22.70000,20.20219,22.04611,19094.84275758,420967.00386631204
