https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOGE
1666483200000,2022-10-23 00:00:00,DOGE/USD,0.06154386,0.06245239,0.06067761,0.0624445,14480.999938453164,231901.92792725
1666396800000,2022-10-22 00:00:00,DOGE/USD,0.06125654,0.06168534,0.0607335,0.06154388,14798.015074486708,240446.5736396
1666310400000,2022-10-21 00:00:00,DOGE/USD,0.06270061,0.06270764,0.05878119,0.06124245,19974.724378894938,326158.15302776
1666224000000,2022-10-20 00:00:00,DOGE/USD,0.0639456,0.06516029,0.06265681,0.06270337,16542.98285443166,263829.24640943
1666137600000,2022-10-19 00:00:00,DOGE/USD,0.06565568,0.06613742,0.0637,0.06393399,14559.73590160986,227730.75638811
1666051200000,2022-10-18 00:00:00,DOGE/USD,0.06579868,0.06653722,0.06464772,0.06561527,17049.393760156236,259838.81130347
1665964800000,2022-10-17 00:00:00,DOGE/USD,0.06472947,0.06591976,0.06456856,0.0657557,13529.537485332225,205754.59595643
1665878400000,2022-10-16 00:00:00,DOGE/USD,0.06463309,0.06524886,0.06454121,0.06473703,14135.9652138082,218359.80448606
1665792000000,2022-10-15 00:00:00,DOGE/USD,0.06451555,0.06567409,0.0642,0.06467051,15742.944873645289,243433.13317995
1665705600000,2022-10-14 00:00:00,DOGE/USD,0.06561211,0.0670887,0.0645,0.06451347,17140.576738016767,265689.88984807
1665619200000,2022-10-13 00:00:00,DOGE/USD,0.07169093,0.07211111,0.0655,0.06560035,30227.38814659893,460780.89745861
1665532800000,2022-10-12 00:00:00,DOGE/USD,0.07199805,0.07333361,0.071,0.07174014,535401.9481664284,7463073.64561079
1665446400000,2022-10-11 00:00:00,DOGE/USD,0.07057793,0.07238287,0.06927265,0.07199016,23337.56016560893,324177.08427942
1665360000000,2022-10-10 00:00:00,DOGE/USD,0.07243864,0.07299996,0.07034186,0.07068904,22460.13035170712,317731.43830652
1665273600000,2022-10-09 00:00:00,DOGE/USD,0.07111321,0.07261557,0.0710042,0.07259955,18066.217984679257,248847.52019371
1665187200000,2022-10-08 00:00:00,DOGE/USD,0.07168864,0.07228277,0.07108472,0.07119281,18750.88086170277,263381.66539153
1665100800000,2022-10-07 00:00:00,DOGE/USD,0.07163393,0.07238465,0.07067877,0.07166313,22531.649296157768,314410.62225663
1665014400000,2022-10-06 00:00:00,DOGE/USD,0.07261935,0.07478979,0.07105476,0.07163266,28576.695622987747,398933.88885723
1664928000000,2022-10-05 00:00:00,DOGE/USD,0.07355368,0.07466225,0.0704836,0.07258866,31302.078348305622,431225.46067534
1664841600000,2022-10-04 00:00:00,DOGE/USD,0.06743018,0.07418903,0.06689916,0.07358407,45772.64439844389,622045.565004
1664755200000,2022-10-03 00:00:00,DOGE/USD,0.06632657,0.0675828,0.06603996,0.06735903,20387.37020021919,302667.21774674
1664668800000,2022-10-02 00:00:00,DOGE/USD,0.06756849,0.06819719,0.0661,0.06639159,16942.721722769278,255193.79371347
1664582400000,2022-10-01 00:00:00,DOGE/USD,0.06865058,0.07011416,0.0673346,0.06757947,17245.53523986297,255188.96848204
