https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SOL
1664236800000,2022-09-27 00:00:00,SOL/USDT,33.874859,35.304197,32.146332,32.667357,14863.768784104375,455.00371469
1664150400000,2022-09-26 00:00:00,SOL/USDT,32.312096,33.931115,31.891274,33.884567,7143.6128854845365,210.8220207
1664064000000,2022-09-25 00:00:00,SOL/USDT,33.400721,34.031321,31.88613,32.308482,5091.834043391597,157.60053485
1663977600000,2022-09-24 00:00:00,SOL/USDT,33.716065,34.74607,33.196515,33.423961,14482.920021785754,433.30950577
1663891200000,2022-09-23 00:00:00,SOL/USDT,32.436614,33.924088,31.277705,33.703679,16131.489117926802,478.62695102
1663804800000,2022-09-22 00:00:00,SOL/USDT,30.775075,32.847549,30.586719,32.39628,13780.401773626083,425.36988116
1663718400000,2022-09-21 00:00:00,SOL/USDT,31.412516,33.412126,30.076839,30.775862,29514.811843026746,959.02470069
1663632000000,2022-09-20 00:00:00,SOL/USDT,32.602224,32.874329,31.377903,31.38833,7366.184047740022,234.67906855
1663545600000,2022-09-19 00:00:00,SOL/USDT,31.120959,33.034139,30.568578,32.618815,18409.648223180753,564.38740105
1663459200000,2022-09-18 00:00:00,SOL/USDT,33.660274,33.98191,30.904209,31.113415,32727.701639816783,1051.88394266
1663372800000,2022-09-17 00:00:00,SOL/USDT,32.257136,33.893221,32.235577,33.692118,10212.602633329077,303.11548337
1663286400000,2022-09-16 00:00:00,SOL/USDT,33.113495,33.211855,31.536596,32.251158,30301.570060387225,939.54983137
1663200000000,2022-09-15 00:00:00,SOL/USDT,34.109594,34.789997,32.497829,33.069788,20654.767619801725,624.58119235
1663113600000,2022-09-14 00:00:00,SOL/USDT,32.90561,34.319374,32.77851,34.098435,21525.240803813802,631.26770492
1663027200000,2022-09-13 00:00:00,SOL/USDT,37.458424,38.917193,32.973772,32.973772,42378.2110518503,1285.20968277
1662940800000,2022-09-12 00:00:00,SOL/USDT,34.971357,38.297525,34.409397,37.437356,31156.74699840574,832.23684382
1662854400000,2022-09-11 00:00:00,SOL/USDT,35.059969,35.963245,34.061674,34.989546,12750.666052835366,364.4135895
1662768000000,2022-09-10 00:00:00,SOL/USDT,34.689198,35.395477,34.286913,35.088763,7193.92024284577,205.02062848
1662681600000,2022-09-09 00:00:00,SOL/USDT,33.633087,35.90691,33.6027,34.692644,12258.081875653777,353.33374636
1662595200000,2022-09-08 00:00:00,SOL/USDT,32.716785,33.954305,32.050317,33.596968,9017.200526591187,268.39328259
1662508800000,2022-09-07 00:00:00,SOL/USDT,30.92688,32.932785,30.4,32.685198,7628.410064808848,233.39035807
1662422400000,2022-09-06 00:00:00,SOL/USDT,32.213196,33.862699,30.57,30.880629,10487.075353059161,339.60044509
1662336000000,2022-09-05 00:00:00,SOL/USDT,32.202086,32.456071,31.151785,32.14191,7671.546389688438,238.67736515
1662249600000,2022-09-04 00:00:00,SOL/USDT,31.109231,32.172952,31.055649,32.152297,7477.435247815907,232.56301868
1662163200000,2022-09-03 00:00:00,SOL/USDT,31.22751,31.265791,30.806114,31.123072,4659.684445386713,149.7180113
1662076800000,2022-09-02 00:00:00,SOL/USDT,31.625683,32.371183,30.790224,31.248549,10438.453044867594,334.04600786
1661990400000,2022-09-01 00:00:00,SOL/USDT,31.494278,31.748978,30.490942,31.602199,19831.330909076703,627.530094
1661904000000,2022-08-31 00:00:00,SOL/USDT,31.517003,32.923081,31.176905,31.500673,19829.165991804,629.4838841
1661817600000,2022-08-30 00:00:00,SOL/USDT,32.665704,33.105749,30.71154,31.453972,16074.776283118093,511.0571181
1661731200000,2022-08-29 00:00:00,SOL/USDT,30.424564,32.722715,30.025683,32.521045,8162.275399553109,250.98441331
1661644800000,2022-08-28 00:00:00,SOL/USDT,31.529282,32.104403,30.236553,30.28399,5444.948689834659,179.79627816
1661558400000,2022-08-27 00:00:00,SOL/USDT,31.739074,32.174469,30.918642,31.504007,12862.29913368595,408.27502145
1661472000000,2022-08-26 00:00:00,SOL/USDT,35.193877,35.640739,31.43331,31.739003,15201.997376733361,478.96896373
1661385600000,2022-08-25 00:00:00,SOL/USDT,34.89225,36.460662,34.89225,35.304981,12514.491584001096,354.46815802
1661299200000,2022-08-24 00:00:00,SOL/USDT,35.638128,36.332254,34.382233,34.909094,20859.15228798031,597.52774701
1661212800000,2022-08-23 00:00:00,SOL/USDT,35.394131,36.088413,34.313724,35.631211,16383.235181554412,459.80012247
1661126400000,2022-08-22 00:00:00,SOL/USDT,36.587546,36.587546,36.169933,36.241119,222.99160520699996,6.153
1661040000000,2022-08-21 00:00:00,SOL/USDT,35.33666,37.034548,34.647473,36.502469,7771.79813624665,212.91157418
1660953600000,2022-08-20 00:00:00,SOL/USDT,35.890854,37.234705,34.311019,35.293451,14339.610473070898,406.29663767
1660867200000,2022-08-19 00:00:00,SOL/USDT,39.512831,39.545553,35.407736,35.811743,332378.8996553759,9281.28238984
1660780800000,2022-08-18 00:00:00,SOL/USDT,40.331801,41.630777,39.434359,39.509877,10747.23556771941,272.01389586
1660694400000,2022-08-17 00:00:00,SOL/USDT,43.028016,44.731923,40.235555,40.45266,21229.01880885913,524.78672129
1660608000000,2022-08-16 00:00:00,SOL/USDT,43.695084,44.248301,42.58619,42.954363,7556.689458957395,175.92367646
1660521600000,2022-08-15 00:00:00,SOL/USDT,44.838227,47.198687,42.836917,43.709197,20046.251311696844,458.62776458
1660435200000,2022-08-14 00:00:00,SOL/USDT,46.605499,47.962783,44.584729,44.821735,14400.927797441202,321.29340369
1660348800000,2022-08-13 00:00:00,SOL/USDT,45.483285,48.300685,45.300059,46.421905,58071.63387887656,1250.95327042
1660262400000,2022-08-12 00:00:00,SOL/USDT,42.78752,45.480255,42.157444,45.479713,10797.82800457601,237.42075955
1660176000000,2022-08-11 00:00:00,SOL/USDT,42.416653,45.112797,42.285243,42.743488,31606.75173440812,739.4518607
1660089600000,2022-08-10 00:00:00,SOL/USDT,40.41,42.730382,39.211213,42.447716,21829.599347472125,514.27029307
1660003200000,2022-08-09 00:00:00,SOL/USDT,42.14406,42.405734,41.947508,41.947508,268.12847113600003,6.392
1659916800000,2022-08-08 00:00:00,SOL/USDT,40.578225,43.653311,40.578225,42.2283,20713.05619644563,490.50177716
1659830400000,2022-08-07 00:00:00,SOL/USDT,39.976653,41.5,39.24602,40.614097,7634.169818513916,187.96847357
1659744000000,2022-08-06 00:00:00,SOL/USDT,40.529374,40.922007,39.94822,40.056173,6482.915550365733,161.84560493
1659657600000,2022-08-05 00:00:00,SOL/USDT,38.821055,41.338239,38.731231,40.530978,12000.156269675019,296.07369133
1659571200000,2022-08-04 00:00:00,SOL/USDT,38.510813,39.807938,38.00001,38.760331,7778.013910945797,200.66943987
1659484800000,2022-08-03 00:00:00,SOL/USDT,39.518888,40.8835,37.251225,38.540019,15908.16489749302,412.77003256
1659398400000,2022-08-02 00:00:00,SOL/USDT,41.61522,42.5,39.491083,39.491083,14315.72767374299,362.50531984
1659312000000,2022-08-01 00:00:00,SOL/USDT,42.101807,43.174218,40.255673,41.718196,13162.72156831323,315.51511883
1659225600000,2022-07-31 00:00:00,SOL/USDT,43.667347,45.226449,42.220457,42.327602,14589.33569714575,344.67664143
1659139200000,2022-07-30 00:00:00,SOL/USDT,41.737676,46.593746,41.192501,43.757815,11876.947293661571,271.42459681
1659052800000,2022-07-29 00:00:00,SOL/USDT,42.779619,44.336076,40.830003,41.726268,48597.27125901041,1164.66853108
1658966400000,2022-07-28 00:00:00,SOL/USDT,40.334541,44.0,39.053579,42.818515,27054.825913087414,631.84876713
1658880000000,2022-07-27 00:00:00,SOL/USDT,36.234323,40.461776,35.617783,40.256747,23974.26480413789,595.53408039
1658793600000,2022-07-26 00:00:00,SOL/USDT,36.62784,36.736987,34.714469,36.151813,8914.937666868176,246.59724996
1658707200000,2022-07-25 00:00:00,SOL/USDT,40.726885,41.079495,36.630658,36.643443,48729.159198779256,1329.81934036
1658620800000,2022-07-24 00:00:00,SOL/USDT,39.853092,42.089128,39.452353,41.011925,12899.191358938137,314.52294324
1658534400000,2022-07-23 00:00:00,SOL/USDT,40.528445,41.878385,38.584146,39.941729,43295.454456161206,1083.96545518
1658448000000,2022-07-22 00:00:00,SOL/USDT,43.038662,44.248864,40.1,40.469272,19691.33060658794,486.57486615
1658361600000,2022-07-21 00:00:00,SOL/USDT,42.052991,43.983422,39.721422,43.131251,20324.374979419612,471.22155069
1658275200000,2022-07-20 00:00:00,SOL/USDT,44.900062,46.204749,41.428182,42.060233,8771.958258115032,208.55705336
1658188800000,2022-07-19 00:00:00,SOL/USDT,43.180443,47.227176,42.594842,44.884497,14205.14235056523,316.48215531
1658102400000,2022-07-18 00:00:00,SOL/USDT,38.618693,43.892362,38.597184,43.490608,11333.611005209073,260.59904716
1658016000000,2022-07-17 00:00:00,SOL/USDT,39.578739,41.006857,38.270616,38.558068,8359.151433453102,216.79383504
1657929600000,2022-07-16 00:00:00,SOL/USDT,37.388911,40.400448,36.37387,39.582027,7803.908771268944,197.15788611
1657843200000,2022-07-15 00:00:00,SOL/USDT,37.13336,39.0,36.568118,37.346054,8781.218255748434,235.13108656
1657756800000,2022-07-14 00:00:00,SOL/USDT,34.923845,37.25886,33.620212,37.101238,7592.24661200734,204.63593727
1657670400000,2022-07-13 00:00:00,SOL/USDT,32.68702,34.957949,31.800011,34.911397,6314.483832292003,180.87170308
1657584000000,2022-07-12 00:00:00,SOL/USDT,33.435,34.575948,32.655031,32.680576,4976.094605933208,152.26459307
1657497600000,2022-07-11 00:00:00,SOL/USDT,36.645669,36.645793,33.29289,33.471855,5389.0546850311575,161.00257022
1657411200000,2022-07-10 00:00:00,SOL/USDT,38.037003,38.073707,37.482715,37.745355,794.7500915791965,21.05557337
1657324800000,2022-07-09 00:00:00,SOL/USDT,38.221449,38.931395,37.80728,38.044839,6800.405965177298,178.7471348
1657238400000,2022-07-08 00:00:00,SOL/USDT,38.492668,39.580659,36.535656,38.159513,13754.738390961056,360.45371939
1657152000000,2022-07-07 00:00:00,SOL/USDT,37.009187,39.252179,36.39587,38.525612,18154.352887714325,471.22815045
1657065600000,2022-07-06 00:00:00,SOL/USDT,35.439761,37.640779,34.811344,37.059213,9777.505823409158,263.83468595
1656979200000,2022-07-05 00:00:00,SOL/USDT,36.659265,36.926605,33.176367,35.4196,4936.9339668906805,139.3842383
1656892800000,2022-07-04 00:00:00,SOL/USDT,33.325429,36.899045,32.535636,36.66181,4068.3999912754566,110.97106202
