https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume USDT,tradecount
1700697600000,2023-11-23,DOGEUSDT,0.07576,0.07638,0.07494,0.0762,613659850.0,46543101.60671,78604
1700611200000,2023-11-22,DOGEUSDT,0.07175,0.0766,0.07153,0.07575,1119488422.0,83580017.26174,133173
1700524800000,2023-11-21,DOGEUSDT,0.07768,0.07875,0.07063,0.07176,2807234921.0,211300189.39713,378131
1700438400000,2023-11-20,DOGEUSDT,0.08045,0.08219,0.07666,0.07768,1894821627.0,151566343.06216,231711
1700352000000,2023-11-19,DOGEUSDT,0.08027,0.08066,0.07734,0.08046,1736599079.0,137007341.97654,213013
1700265600000,2023-11-18,DOGEUSDT,0.08642,0.08663,0.079,0.08028,3816113600.0,315083578.88686,471831
1700179200000,2023-11-17,DOGEUSDT,0.07946,0.0876,0.07907,0.08641,5715620063.0,474488946.30238,759077
1700092800000,2023-11-16,DOGEUSDT,0.07623,0.084,0.07593,0.07947,4624288827.0,365641577.38689,655958
1700006400000,2023-11-15,DOGEUSDT,0.07244,0.07654,0.07227,0.07623,1242373327.0,92173316.68071,160674
1699920000000,2023-11-14,DOGEUSDT,0.07456,0.07555,0.0688,0.07244,2213664109.0,162615567.505,243270
1699833600000,2023-11-13,DOGEUSDT,0.07795,0.07954,0.07341,0.07456,2695984716.0,206919438.97998,289927
1699747200000,2023-11-12,DOGEUSDT,0.0785,0.08038,0.07503,0.07795,2187569963.0,170782020.32108,229510
1699660800000,2023-11-11,DOGEUSDT,0.07539,0.08189,0.07445,0.07849,3940449595.0,310285550.04576,462112
1699574400000,2023-11-10,DOGEUSDT,0.07357,0.07559,0.07241,0.07539,1754786161.0,130057016.18724,194362
1699488000000,2023-11-09,DOGEUSDT,0.07535,0.07791,0.06779,0.07357,2758797891.0,203970342.66265,358155
1699401600000,2023-11-08,DOGEUSDT,0.07338,0.0772,0.07277,0.07534,1394687206.0,104243754.25747,160281
1699315200000,2023-11-07,DOGEUSDT,0.07637,0.07648,0.0715,0.07338,2426713501.0,179245598.05852,249400
1699228800000,2023-11-06,DOGEUSDT,0.07108,0.07653,0.07025,0.07637,1891295555.0,139294113.76902,260874
1699142400000,2023-11-05,DOGEUSDT,0.06908,0.07175,0.0688,0.07108,1366786320.0,96125652.72491,152588
1699056000000,2023-11-04,DOGEUSDT,0.06808,0.06927,0.0679,0.06908,544148824.0,37335756.33993,66484
1698969600000,2023-11-03,DOGEUSDT,0.0679,0.06823,0.06621,0.06807,793772413.0,53465914.56396,95327
1698883200000,2023-11-02,DOGEUSDT,0.06893,0.07089,0.0666,0.0679,1597197975.0,109939113.03404,168866
1698796800000,2023-11-01,DOGEUSDT,0.06827,0.06967,0.06548,0.06894,1322729238.0,89187337.49734,161653
1698710400000,2023-10-31,DOGEUSDT,0.06958,0.07085,0.06578,0.06827,1281215492.0,87801026.75191,167979
1698624000000,2023-10-30,DOGEUSDT,0.06936,0.0704,0.06771,0.06959,739649062.0,51162371.28524,110464
1698537600000,2023-10-29,DOGEUSDT,0.069,0.0702,0.06722,0.06935,485266012.0,33473402.46875,89276
1698451200000,2023-10-28,DOGEUSDT,0.06776,0.06982,0.0675,0.069,643644405.0,44244090.02932,109985
1698364800000,2023-10-27,DOGEUSDT,0.07184,0.07243,0.06716,0.06776,1256624746.0,87743155.98292,185111
1698278400000,2023-10-26,DOGEUSDT,0.06832,0.07516,0.06782,0.07185,3074465230.0,220766668.23004,445511
