https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1667520000000,2022-11-04 00:00:00,DAI/USD,1.006987,1.010298,1.0008,1.004347,15508.625617071184,15441.50141044
1667433600000,2022-11-03 00:00:00,DAI/USD,1.000899,1.008323,1.000731,1.006174,16051.19477506342,15952.70278805
1667347200000,2022-11-02 00:00:00,DAI/USD,1.003246,1.005798,0.9984,1.003076,15926.059020100165,15877.22068926
1667260800000,2022-11-01 00:00:00,DAI/USD,1.013524,1.015533,1.0015,1.003156,17797.902293675616,17741.90882941
1667174400000,2022-10-31 00:00:00,DAI/USD,1.010812,1.011343,1.006,1.009304,12836.891981314115,12718.55851291
1667088000000,2022-10-30 00:00:00,DAI/USD,1.009199,1.013679,1.00771,1.00991,15756.710967852623,15602.09421419
1667001600000,2022-10-29 00:00:00,DAI/USD,1.011732,1.012859,1.006,1.009707,16007.60641088079,15853.71440515
1666915200000,2022-10-28 00:00:00,DAI/USD,1.016401,1.018652,1.006623,1.011299,16246.05845897877,16064.54516318
1666828800000,2022-10-27 00:00:00,DAI/USD,1.024154,1.02453,1.010939,1.015814,15530.286230053287,15288.5136748
1666742400000,2022-10-26 00:00:00,DAI/USD,1.019666,1.024569,1.012,1.020824,16806.457043113867,16463.61864838
1666656000000,2022-10-25 00:00:00,DAI/USD,1.031918,1.0365,1.011,1.019686,17115.50541799545,16785.07444252
1666569600000,2022-10-24 00:00:00,DAI/USD,1.030811,1.06021,1.018602,1.032281,17818.17431064818,17260.9728462
1666483200000,2022-10-23 00:00:00,DAI/USD,1.025262,1.0343,1.01555,1.030744,16623.12633185837,16127.30836353
1666396800000,2022-10-22 00:00:00,DAI/USD,1.027129,1.032096,1.023813,1.028422,15747.197664,15312
1666310400000,2022-10-21 00:00:00,DAI/USD,1.062567,1.062567,1.019802,1.02857,17387.91188691398,16904.93781358
1666224000000,2022-10-20 00:00:00,DAI/USD,1.092638,1.097398,1.056,1.060538,17252.554780549486,16267.73843139
1666137600000,2022-10-19 00:00:00,DAI/USD,1.099025,1.105198,1.0892,1.093113,17114.377935752844,15656.54963005
1666051200000,2022-10-18 00:00:00,DAI/USD,1.098362,1.106516,1.092922,1.099344,17497.791802856256,15916.575524
1665964800000,2022-10-17 00:00:00,DAI/USD,1.092002,1.104826,1.092002,1.097269,17145.070311130356,15625.22071719
1665878400000,2022-10-16 00:00:00,DAI/USD,1.097415,1.1046,1.095278,1.099913,17130.06489988788,15574.01803587
1665792000000,2022-10-15 00:00:00,DAI/USD,1.096543,1.1047,1.095348,1.098676,17218.56949354069,15672.10851383
1665705600000,2022-10-14 00:00:00,DAI/USD,1.096522,1.1043,1.089702,1.097132,16917.219067269485,15419.49288442
1665619200000,2022-10-13 00:00:00,DAI/USD,1.192852,1.233,1.091934,1.094244,17220.11703620504,15736.9992764
1665532800000,2022-10-12 00:00:00,DAI/USD,1.193941,1.20351,1.169605,1.192443,18633.557119115852,15626.37133944
1665446400000,2022-10-11 00:00:00,DAI/USD,1.184564,1.199999,1.180448,1.194372,19903.529667302035,16664.43090369
