https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1705104000,2024-01-13 00:00:00,ETH/USDT,2525.5,2532.3,2525.5,2532.3,0.74314393,1881.8633739390002
1705017600,2024-01-12 00:00:00,ETH/USDT,2618.5,2710.0,2456.4,2524.3,400.68006622,1011436.6911591461
1704931200,2024-01-11 00:00:00,ETH/USDT,2585.9,2688.1,2470.0,2620.8,349.18268083,915137.969919264
1704844800,2024-01-10 00:00:00,ETH/USDT,2357.5,2635.2,2342.9,2581.9,683.79237263,1765483.526893397
1704758400,2024-01-09 00:00:00,ETH/USDT,2332.5,2373.2,2005.0,2344.8,606.46534543,1422039.941964264
1704672000,2024-01-08 00:00:00,ETH/USDT,2221.4,2356.7,2173.0,2330.4,314.01349558,731777.050099632
1704585600,2024-01-07 00:00:00,ETH/USDT,2239.9,2256.2,2206.4,2221.5,155.77395047,346051.83096910495
1704499200,2024-01-06 00:00:00,ETH/USDT,2268.1,2269.7,2217.9,2239.9,91.39140490,204707.60783551
1704412800,2024-01-05 00:00:00,ETH/USDT,2266.2,2275.6,2207.2,2266.8,206.52007433,468139.70449124405
1704326400,2024-01-04 00:00:00,ETH/USDT,2208.4,2294.3,2203.8,2266.9,148.60441946,336871.35847387405
1704240000,2024-01-03 00:00:00,ETH/USDT,2355.1,2384.5,2022.0,2210.0,694.44269179,1534718.3488559
1704153600,2024-01-02 00:00:00,ETH/USDT,2349.2,2430.0,2343.8,2353.9,135.70421722,319434.156914158
1704067200,2024-01-01 00:00:00,ETH/USDT,2284.3,2350.2,2271.9,2349.4,61.14482537,143653.652724278
1703980800,2023-12-31 00:00:00,ETH/USDT,2291.4,2320.6,2259.0,2281.3,83.61934324,190760.80773341202
1703894400,2023-12-30 00:00:00,ETH/USDT,2299.1,2322.0,2267.7,2290.6,114.03804568,261215.547434608
1703808000,2023-12-29 00:00:00,ETH/USDT,2345.2,2385.0,2254.5,2293.5,400.41544389,918352.820561715
1703721600,2023-12-28 00:00:00,ETH/USDT,2379.0,2442.9,2334.5,2344.9,220.94223856,518087.455199344
1703635200,2023-12-27 00:00:00,ETH/USDT,2230.9,2390.0,2212.7,2375.1,297.61765323,706871.6881865729
1703548800,2023-12-26 00:00:00,ETH/USDT,2270.4,2273.5,2180.0,2231.0,215.24436242,480210.17255902
1703462400,2023-12-25 00:00:00,ETH/USDT,2263.9,2301.6,2253.9,2272.2,35.95305501,81692.531593722
1703376000,2023-12-24 00:00:00,ETH/USDT,2308.7,2325.1,2244.4,2267.4,78.03566271,176938.061628654
1703289600,2023-12-23 00:00:00,ETH/USDT,2325.4,2329.8,2267.6,2309.8,90.52451964,209093.535464472
1703203200,2023-12-22 00:00:00,ETH/USDT,2240.1,2340.0,2233.2,2324.6,222.97922942,518337.51670973195
1703116800,2023-12-21 00:00:00,ETH/USDT,2198.9,2277.4,2183.8,2236.3,123.35843744,275866.47364707204
1703030400,2023-12-20 00:00:00,ETH/USDT,2176.7,2265.6,2159.5,2200.5,289.95029639,638035.627206195
1702944000,2023-12-19 00:00:00,ETH/USDT,2216.7,2252.8,2138.2,2176.8,231.74443310,504461.28197208006
1702857600,2023-12-18 00:00:00,ETH/USDT,2195.8,2221.4,2118.3,2215.1,175.13786787,387947.891118837
1702771200,2023-12-17 00:00:00,ETH/USDT,2230.0,2247.1,2193.5,2196.1,78.02105281,171342.034076041
1702684800,2023-12-16 00:00:00,ETH/USDT,2225.5,2262.9,2211.4,2227.0,54.69591017,121807.79194858999
1702598400,2023-12-15 00:00:00,ETH/USDT,2312.9,2314.4,2198.6,2217.1,275.92934174,611762.9435717539
1702512000,2023-12-14 00:00:00,ETH/USDT,2258.4,2330.2,2229.5,2314.2,321.40935616,743805.532025472
1702425600,2023-12-13 00:00:00,ETH/USDT,2203.6,2283.8,2150.0,2260.1,418.74118511,946396.9524671109
1702339200,2023-12-12 00:00:00,ETH/USDT,2227.9,2242.2,2167.2,2204.2,305.75639308,673948.241626936
1702252800,2023-12-11 00:00:00,ETH/USDT,2354.0,2354.0,2146.4,2227.2,581.79517106,1295774.2049848319
1702166400,2023-12-10 00:00:00,ETH/USDT,2343.3,2373.7,2320.4,2351.8,118.81131147,279420.44231514604
1702080000,2023-12-09 00:00:00,ETH/USDT,2359.4,2400.0,2328.4,2340.1,263.38640708,616350.5312079081
1701993600,2023-12-08 00:00:00,ETH/USDT,2357.4,2390.1,2336.9,2358.5,326.91714040,771034.0756334
1701907200,2023-12-07 00:00:00,ETH/USDT,2232.6,2382.0,2222.8,2355.7,227.39539579,535675.333862503
1701820800,2023-12-06 00:00:00,ETH/USDT,2293.1,2310.0,2220.0,2229.7,169.25594647,377389.98384415894
1701734400,2023-12-05 00:00:00,ETH/USDT,2240.4,2305.8,2185.0,2290.9,853.29401962,1954811.269547458
